Part Number,Finish,Length,Units,List Price,Page Number(s)
BE9-1448,Clear,24’ - 0”,1 pc.,434,C7-2
BE9-1448,Bronze,24’ - 0”,1 pc.,474,C7-2
BE9-1448,Paint,24’ - 0”,1 pc.,480,C7-2
BE9-1449,Clear,24’ - 0”,1 pc.,446,C7-2
BE9-1449,Bronze,24’ - 0”,1 pc.,486,C7-2
BE9-1449,Paint,24’ - 0”,1 pc.,491,C7-2
BE9-1461,Clear,24’ - 0”,1 pc.,404,C7-2
BE9-1461,Bronze,24’ - 0”,1 pc.,444,C7-2
BE9-1461,Paint,24’ - 0”,1 pc.,639,C7-2
BE9-1462,Clear,24’ - 0”,1 pc.,243,C7-2
BE9-1462,Bronze,24’ - 0”,1 pc.,260,C7-2
BE9-1462,Paint,24’ - 0”,1 pc.,359,C7-2
BE9-1463,Clear,24’ - 0”,1 pc.,599,C7-2
BE9-1463,Bronze,24’ - 0”,1 pc.,602,C7-2
BE9-1463,Paint,24’ - 0”,1 pc.,629,C7-2
BE9-1503,Clear,24’ - 0”,1 pc.,477,C3-20
BE9-1503,Bronze,24’ - 0”,1 pc.,483,C3-20
BE9-1503,Paint,24’ - 0”,1 pc.,656,C3-20
BE9-1504,Clear,24’ - 0”,1 pc.,438,C3-20
BE9-1504,Bronze,24’ - 0”,1 pc.,506,C3-20
BE9-1504,Paint,24’ - 0”,1 pc.,618,C3-20
BE9-1506,Clear,24’ - 0”,1 pc.,497,C3-20
BE9-1506,Bronze,24’ - 0”,1 pc.,515,C3-20
BE9-1506,Paint,24’ - 0”,1 pc.,683,C3-20
BE9-1507,Clear,24’ - 0”,1 pc.,555,C3-20
BE9-1507,Bronze,24’ - 0”,1 pc.,561,C3-20
BE9-1507,Paint,24’ - 0”,1 pc.,767,C3-20
BE9-1509,Clear,24’ - 0”,1 pc.,272,C3-21
BE9-1509,Bronze,24’ - 0”,1 pc.,305,C3-21
BE9-1509,Paint,24’ - 0”,1 pc.,453,C3-21
BE9-1510,Clear,24’ - 0”,1 pc.,264,C3-20
BE9-1510,Bronze,24’ - 0”,1 pc.,323,C3-20
BE9-1510,Paint,24’ - 0”,1 pc.,425,C3-20
BE9-1511,Clear,24’ - 0”,1 pc.,596,C3-21
BE9-1511,Bronze,24’ - 0”,1 pc.,680,C3-21
BE9-1511,Paint,24’ - 0”,1 pc.,924,C3-21
BE9-1512,Clear,24’ - 0”,1 pc.,197,C3-17
BE9-1512,Bronze,24’ - 0”,1 pc.,228,C3-17
BE9-1512,Paint,24’ - 0”,1 pc.,339,C3-17
BE9-1513,Clear,24’ - 0”,1 pc.,621,"C3-3, C3-20, C3-28"
,,,,,
Index-56,,,,,
"Effective Date: May 2, 2025",,,,,
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
BE9-1513,Bronze,24’ - 0”,1 pc.,702,"C3-3, C3-20, C3-28"
BE9-1513,Paint,24’ - 0”,1 pc.,1022,"C3-3, C3-20, C3-28"
BE9-1514,Clear,24’ - 0”,1 pc.,827,"C3-3, C3-20"
